country,year,food_supply,region
Gambia,1962,2080.0,
Georgia,1962,,Europe & Central Asia
Germany,1962,2920.0,Europe & Central Asia
Ghana,1962,1940.0,Sub-Saharan Africa
Greece,1962,2780.0,Europe & Central Asia
Grenada,1962,1810.0,Latin America & Caribbean
Guatemala,1962,1850.0,Latin America & Caribbean
Guinea,1962,1940.0,Sub-Saharan Africa
Guinea-Bissau,1962,1570.0,Sub-Saharan Africa
Guyana,1962,2310.0,Latin America & Caribbean
Haiti,1962,1940.0,Latin America & Caribbean
Honduras,1962,1850.0,Latin America & Caribbean
Hungary,1962,3050.0,Europe & Central Asia
Iceland,1962,3320.0,Europe & Central Asia
India,1962,2050.0,South Asia
Indonesia,1962,1830.0,East Asia & Pacific
Iran,1962,1750.0,Middle East & North Africa
Iraq,1962,1860.0,Middle East & North Africa
Ireland,1962,3370.0,Europe & Central Asia
Israel,1962,2820.0,Middle East & North Africa
Italy,1962,3020.0,Europe & Central Asia
Jamaica,1962,2020.0,Latin America & Caribbean
Japan,1962,2570.0,East Asia & Pacific
Jordan,1962,2140.0,Middle East & North Africa
Kazakhstan,1962,,Europe & Central Asia
Kenya,1962,2250.0,Sub-Saharan Africa
Kiribati,1962,2510.0,East Asia & Pacific
Kuwait,1962,2550.0,Middle East & North Africa
Kyrgyz Republic,1962,,Europe & Central Asia
Lao,1962,1920.0,
Latvia,1962,,Europe & Central Asia
Lebanon,1962,2470.0,Middle East & North Africa
Lesotho,1962,2000.0,Sub-Saharan Africa
Liberia,1962,2060.0,Sub-Saharan Africa
Lithuania,1962,,Europe & Central Asia
Luxembourg,1962,,Europe & Central Asia
"Macedonia, FYR",1962,,Europe & Central Asia
Madagascar,1962,2400.0,Sub-Saharan Africa
Malawi,1962,2010.0,Sub-Saharan Africa
Malaysia,1962,2440.0,East Asia & Pacific
Maldives,1962,1570.0,South Asia
Mali,1962,1700.0,Sub-Saharan Africa
Malta,1962,2850.0,Middle East & North Africa
Mauritania,1962,2210.0,Sub-Saharan Africa
Mauritius,1962,2410.0,Sub-Saharan Africa
Mexico,1962,2290.0,Latin America & Caribbean
Moldova,1962,,Europe & Central Asia
Mongolia,1962,1950.0,East Asia & Pacific
Montenegro,1962,,Europe & Central Asia
Morocco,1962,2070.0,Middle East & North Africa
Mozambique,1962,1860.0,Sub-Saharan Africa
Myanmar,1962,1510.0,East Asia & Pacific
Namibia,1962,2250.0,Sub-Saharan Africa
Nepal,1962,1760.0,South Asia
Netherlands,1962,3040.0,Europe & Central Asia
New Zealand,1962,2960.0,East Asia & Pacific
Nicaragua,1962,1940.0,Latin America & Caribbean
Niger,1962,1620.0,Sub-Saharan Africa
Nigeria,1962,2030.0,Sub-Saharan Africa
North Korea,1962,1910.0,East Asia & Pacific
Norway,1962,2930.0,Europe & Central Asia
Oman,1962,,Middle East & North Africa
Pakistan,1962,1950.0,South Asia
Panama,1962,2020.0,Latin America & Caribbean
Paraguay,1962,2150.0,Latin America & Caribbean
Peru,1962,2140.0,Latin America & Caribbean
Philippines,1962,1730.0,East Asia & Pacific
Poland,1962,3270.0,Europe & Central Asia
Portugal,1962,2570.0,Europe & Central Asia
Romania,1962,2880.0,Europe & Central Asia
Russia,1962,,Europe & Central Asia
Rwanda,1962,1950.0,Sub-Saharan Africa
Samoa,1962,1980.0,East Asia & Pacific
Sao Tome and Principe,1962,2230.0,
Saudi Arabia,1962,1750.0,Middle East & North Africa
Senegal,1962,2310.0,Sub-Saharan Africa
Serbia,1962,,Europe & Central Asia
Sierra Leone,1962,1850.0,Sub-Saharan Africa
Slovak Republic,1962,,Europe & Central Asia
Slovenia,1962,,Europe & Central Asia
Solomon Islands,1962,2200.0,East Asia & Pacific
South Africa,1962,2620.0,Sub-Saharan Africa
South Korea,1962,2180.0,East Asia & Pacific
Spain,1962,2790.0,Europe & Central Asia
Sri Lanka,1962,2100.0,South Asia
St. Kitts and Nevis,1962,1780.0,Latin America & Caribbean
St. Lucia,1962,1750.0,Latin America & Caribbean
St. Vincent and the Grenadines,1962,1980.0,Latin America & Caribbean
Sudan,1962,1800.0,Sub-Saharan Africa
Suriname,1962,1930.0,Latin America & Caribbean
Swaziland,1962,2190.0,Sub-Saharan Africa
Sweden,1962,2820.0,Europe & Central Asia
Switzerland,1962,3480.0,Europe & Central Asia
Tajikistan,1962,,Europe & Central Asia
Tanzania,1962,1760.0,Sub-Saharan Africa
Thailand,1962,2070.0,East Asia & Pacific
Timor-Leste,1962,1750.0,East Asia & Pacific
Togo,1962,2200.0,Sub-Saharan Africa
Trinidad and Tobago,1962,2360.0,Latin America & Caribbean
Tunisia,1962,2290.0,Middle East & North Africa
Turkey,1962,2920.0,Europe & Central Asia
Turkmenistan,1962,,Europe & Central Asia
Uganda,1962,2270.0,Sub-Saharan Africa
Ukraine,1962,,Europe & Central Asia
United Arab Emirates,1962,2780.0,Middle East & North Africa
United Kingdom,1962,3200.0,Europe & Central Asia
United States,1962,2860.0,North America
Uruguay,1962,2710.0,Latin America & Caribbean
Uzbekistan,1962,,Europe & Central Asia
Vanuatu,1962,2520.0,East Asia & Pacific
Venezuela,1962,2110.0,Latin America & Caribbean
Vietnam,1962,1960.0,East Asia & Pacific
Yemen,1962,1800.0,Middle East & North Africa
Zambia,1962,2150.0,Sub-Saharan Africa
Zimbabwe,1962,2160.0,Sub-Saharan Africa
Afghanistan,1963,2700.0,South Asia
Albania,1963,2160.0,Europe & Central Asia
Algeria,1963,1530.0,Middle East & North Africa
Angola,1963,1850.0,Sub-Saharan Africa
Antigua and Barbuda,1963,2050.0,Latin America & Caribbean
Argentina,1963,3030.0,Latin America & Caribbean
Armenia,1963,,Europe & Central Asia
Australia,1963,3170.0,East Asia & Pacific
Austria,1963,3250.0,Europe & Central Asia
Azerbaijan,1963,,Europe & Central Asia
Bahamas,1963,2380.0,
Bangladesh,1963,2170.0,South Asia
Barbados,1963,2650.0,Latin America & Caribbean
Belarus,1963,,Europe & Central Asia
Belgium,1963,,Europe & Central Asia
Belize,1963,2270.0,Latin America & Caribbean
Benin,1963,1700.0,Sub-Saharan Africa
Bolivia,1963,1810.0,Latin America & Caribbean
Bosnia and Herzegovina,1963,,Europe & Central Asia
Botswana,1963,1970.0,Sub-Saharan Africa
Brazil,1963,2240.0,Latin America & Caribbean
Brunei,1963,1990.0,East Asia & Pacific
Bulgaria,1963,3280.0,Europe & Central Asia
Burkina Faso,1963,1450.0,Sub-Saharan Africa
Cambodia,1963,1950.0,East Asia & Pacific
Cameroon,1963,2060.0,Sub-Saharan Africa
Canada,1963,2900.0,North America
Cape Verde,1963,1460.0,
Central African Republic,1963,2150.0,Sub-Saharan Africa
Chad,1963,2360.0,Sub-Saharan Africa
Chile,1963,2630.0,Latin America & Caribbean
China,1963,1590.0,East Asia & Pacific
Colombia,1963,2090.0,Latin America & Caribbean
"Congo, Rep.",1963,2090.0,Sub-Saharan Africa
Costa Rica,1963,2030.0,Latin America & Caribbean
Cote d'Ivoire,1963,2500.0,
Croatia,1963,,Europe & Central Asia
Cuba,1963,2390.0,Latin America & Caribbean
Cyprus,1963,2370.0,Europe & Central Asia
Czech Republic,1963,,Europe & Central Asia
Denmark,1963,3100.0,Europe & Central Asia
Djibouti,1963,1600.0,Middle East & North Africa
Dominica,1963,1840.0,Latin America & Caribbean
Dominican Republic,1963,1850.0,Latin America & Caribbean
Ecuador,1963,2070.0,Latin America & Caribbean
Egypt,1963,2170.0,Middle East & North Africa
El Salvador,1963,1650.0,Latin America & Caribbean
Estonia,1963,,Europe & Central Asia
Ethiopia,1963,,Sub-Saharan Africa
Fiji,1963,2720.0,East Asia & Pacific
Finland,1963,3070.0,Europe & Central Asia
France,1963,3230.0,Europe & Central Asia
Gabon,1963,1880.0,Sub-Saharan Africa
Gambia,1963,2120.0,
Georgia,1963,,Europe & Central Asia
Germany,1963,2900.0,Europe & Central Asia
Ghana,1963,1850.0,Sub-Saharan Africa
Greece,1963,2790.0,Europe & Central Asia
Grenada,1963,1860.0,Latin America & Caribbean
Guatemala,1963,1890.0,Latin America & Caribbean
Guinea,1963,1940.0,Sub-Saharan Africa
Guinea-Bissau,1963,1600.0,Sub-Saharan Africa
Guyana,1963,2260.0,Latin America & Caribbean
Haiti,1963,1940.0,Latin America & Caribbean
Honduras,1963,1870.0,Latin America & Caribbean
Hungary,1963,3080.0,Europe & Central Asia
Iceland,1963,3100.0,Europe & Central Asia
India,1963,1970.0,South Asia
Indonesia,1963,1820.0,East Asia & Pacific
Iran,1963,1790.0,Middle East & North Africa
Iraq,1963,1980.0,Middle East & North Africa
Ireland,1963,3390.0,Europe & Central Asia
Israel,1963,2750.0,Middle East & North Africa
Italy,1963,3090.0,Europe & Central Asia
Jamaica,1963,2030.0,Latin America & Caribbean
Japan,1963,2610.0,East Asia & Pacific
Jordan,1963,2170.0,Middle East & North Africa
Kazakhstan,1963,,Europe & Central Asia
Kenya,1963,2140.0,Sub-Saharan Africa
Kiribati,1963,2520.0,East Asia & Pacific
Kuwait,1963,2440.0,Middle East & North Africa
Kyrgyz Republic,1963,,Europe & Central Asia
Lao,1963,1950.0,
Latvia,1963,,Europe & Central Asia
Lebanon,1963,2430.0,Middle East & North Africa
Lesotho,1963,2080.0,Sub-Saharan Africa
Liberia,1963,2150.0,Sub-Saharan Africa
Lithuania,1963,,Europe & Central Asia
Luxembourg,1963,,Europe & Central Asia
"Macedonia, FYR",1963,,Europe & Central Asia
Madagascar,1963,2460.0,Sub-Saharan Africa
Malawi,1963,2110.0,Sub-Saharan Africa
Malaysia,1963,2450.0,East Asia & Pacific
Maldives,1963,1570.0,South Asia
Mali,1963,1770.0,Sub-Saharan Africa
Malta,1963,2930.0,Middle East & North Africa
Mauritania,1963,2190.0,Sub-Saharan Africa
Mauritius,1963,2370.0,Sub-Saharan Africa
Mexico,1963,2300.0,Latin America & Caribbean
Moldova,1963,,Europe & Central Asia
Mongolia,1963,2040.0,East Asia & Pacific
Montenegro,1963,,Europe & Central Asia
Morocco,1963,2070.0,Middle East & North Africa
Mozambique,1963,1810.0,Sub-Saharan Africa
Myanmar,1963,1530.0,East Asia & Pacific
Namibia,1963,2250.0,Sub-Saharan Africa
Nepal,1963,1760.0,South Asia
Netherlands,1963,3050.0,Europe & Central Asia
New Zealand,1963,2950.0,East Asia & Pacific
Nicaragua,1963,1960.0,Latin America & Caribbean
Niger,1963,1640.0,Sub-Saharan Africa
Nigeria,1963,1980.0,Sub-Saharan Africa
North Korea,1963,2020.0,East Asia & Pacific
Norway,1963,2800.0,Europe & Central Asia
Oman,1963,,Middle East & North Africa
Pakistan,1963,1970.0,South Asia
Panama,1963,2150.0,Latin America & Caribbean
Paraguay,1963,2150.0,Latin America & Caribbean
Peru,1963,1980.0,Latin America & Caribbean
Philippines,1963,1800.0,East Asia & Pacific
Poland,1963,3290.0,Europe & Central Asia
Portugal,1963,2680.0,Europe & Central Asia
Romania,1963,2910.0,Europe & Central Asia
Russia,1963,,Europe & Central Asia
Rwanda,1963,1880.0,Sub-Saharan Africa
Samoa,1963,1970.0,East Asia & Pacific
Sao Tome and Principe,1963,2230.0,
Saudi Arabia,1963,1790.0,Middle East & North Africa
Senegal,1963,2630.0,Sub-Saharan Africa
Serbia,1963,,Europe & Central Asia
Sierra Leone,1963,1970.0,Sub-Saharan Africa
Slovak Republic,1963,,Europe & Central Asia
Slovenia,1963,,Europe & Central Asia
Solomon Islands,1963,2200.0,East Asia & Pacific
South Africa,1963,2730.0,Sub-Saharan Africa
South Korea,1963,2210.0,East Asia & Pacific
Spain,1963,2700.0,Europe & Central Asia
Sri Lanka,1963,2140.0,South Asia
St. Kitts and Nevis,1963,1820.0,Latin America & Caribbean
St. Lucia,1963,1700.0,Latin America & Caribbean
St. Vincent and the Grenadines,1963,1860.0,Latin America & Caribbean
Sudan,1963,1730.0,Sub-Saharan Africa
Suriname,1963,1980.0,Latin America & Caribbean
Swaziland,1963,2130.0,Sub-Saharan Africa
Sweden,1963,2810.0,Europe & Central Asia
Switzerland,1963,3410.0,Europe & Central Asia
Tajikistan,1963,,Europe & Central Asia
Tanzania,1963,1780.0,Sub-Saharan Africa
Thailand,1963,2170.0,East Asia & Pacific
Timor-Leste,1963,1690.0,East Asia & Pacific
Togo,1963,2140.0,Sub-Saharan Africa
Trinidad and Tobago,1963,2370.0,Latin America & Caribbean
Tunisia,1963,2340.0,Middle East & North Africa
Turkey,1963,3010.0,Europe & Central Asia
Turkmenistan,1963,,Europe & Central Asia
Uganda,1963,2300.0,Sub-Saharan Africa
Ukraine,1963,,Europe & Central Asia
United Arab Emirates,1963,2740.0,Middle East & North Africa
United Kingdom,1963,3230.0,Europe & Central Asia
United States,1963,2860.0,North America
Uruguay,1963,2770.0,Latin America & Caribbean
Uzbekistan,1963,,Europe & Central Asia
Vanuatu,1963,2540.0,East Asia & Pacific
Venezuela,1963,2110.0,Latin America & Caribbean
Vietnam,1963,1960.0,East Asia & Pacific
Yemen,1963,1820.0,Middle East & North Africa
Zambia,1963,2110.0,Sub-Saharan Africa
Zimbabwe,1963,2150.0,Sub-Saharan Africa
Afghanistan,1964,2950.0,South Asia
Albania,1964,2270.0,Europe & Central Asia
Algeria,1964,1540.0,Middle East & North Africa
Angola,1964,1860.0,Sub-Saharan Africa
Antigua and Barbuda,1964,2130.0,Latin America & Caribbean
Argentina,1964,3080.0,Latin America & Caribbean
Armenia,1964,,Europe & Central Asia
Australia,1964,3150.0,East Asia & Pacific
Austria,1964,3270.0,Europe & Central Asia
Azerbaijan,1964,,Europe & Central Asia
Bahamas,1964,2430.0,
Bangladesh,1964,2160.0,South Asia
Barbados,1964,2610.0,Latin America & Caribbean
Belarus,1964,,Europe & Central Asia
Belgium,1964,,Europe & Central Asia
Belize,1964,2270.0,Latin America & Caribbean
Benin,1964,1670.0,Sub-Saharan Africa
Bolivia,1964,1740.0,Latin America & Caribbean
Bosnia and Herzegovina,1964,,Europe & Central Asia
Botswana,1964,2000.0,Sub-Saharan Africa
Brazil,1964,2310.0,Latin America & Caribbean
Brunei,1964,2000.0,East Asia & Pacific
Bulgaria,1964,3330.0,Europe & Central Asia
Burkina Faso,1964,1560.0,Sub-Saharan Africa
Cambodia,1964,1920.0,East Asia & Pacific
Cameroon,1964,2070.0,Sub-Saharan Africa
Canada,1964,2800.0,North America
Cape Verde,1964,1600.0,
Central African Republic,1964,2110.0,Sub-Saharan Africa
Chad,1964,2330.0,Sub-Saharan Africa
Chile,1964,2580.0,Latin America & Caribbean
China,1964,1670.0,East Asia & Pacific
Colombia,1964,2140.0,Latin America & Caribbean
"Congo, Rep.",1964,2130.0,Sub-Saharan Africa
