country,year,food_supply,region,lifeexpband
Myanmar,1962,1510.0,East Asia & Pacific,M
Namibia,1962,2250.0,Sub-Saharan Africa,L
Nepal,1962,1760.0,South Asia,M
Netherlands,1962,3040.0,Europe & Central Asia,H
New Zealand,1962,2960.0,East Asia & Pacific,H
Nicaragua,1962,1940.0,Latin America & Caribbean,H
Niger,1962,1620.0,Sub-Saharan Africa,L
Nigeria,1962,2030.0,Sub-Saharan Africa,L
North Korea,1962,1910.0,East Asia & Pacific,M
Norway,1962,2930.0,Europe & Central Asia,H
Oman,1962,,Middle East & North Africa,H
Pakistan,1962,1950.0,South Asia,M
Panama,1962,2020.0,Latin America & Caribbean,H
Paraguay,1962,2150.0,Latin America & Caribbean,H
Peru,1962,2140.0,Latin America & Caribbean,H
Philippines,1962,1730.0,East Asia & Pacific,M
Poland,1962,3270.0,Europe & Central Asia,H
Portugal,1962,2570.0,Europe & Central Asia,H
Romania,1962,2880.0,Europe & Central Asia,H
Russia,1962,,Europe & Central Asia,M
Rwanda,1962,1950.0,Sub-Saharan Africa,M
Samoa,1962,1980.0,East Asia & Pacific,M
Sao Tome and Principe,1962,2230.0,,M
Saudi Arabia,1962,1750.0,Middle East & North Africa,H
Senegal,1962,2310.0,Sub-Saharan Africa,M
Serbia,1962,,Europe & Central Asia,H
Sierra Leone,1962,1850.0,Sub-Saharan Africa,L
Slovak Republic,1962,,Europe & Central Asia,H
Slovenia,1962,,Europe & Central Asia,H
Solomon Islands,1962,2200.0,East Asia & Pacific,L
South Africa,1962,2620.0,Sub-Saharan Africa,L
South Korea,1962,2180.0,East Asia & Pacific,H
Spain,1962,2790.0,Europe & Central Asia,H
Sri Lanka,1962,2100.0,South Asia,H
St. Kitts and Nevis,1962,1780.0,Latin America & Caribbean,
St. Lucia,1962,1750.0,Latin America & Caribbean,H
St. Vincent and the Grenadines,1962,1980.0,Latin America & Caribbean,M
Sudan,1962,1800.0,Sub-Saharan Africa,M
Suriname,1962,1930.0,Latin America & Caribbean,M
Swaziland,1962,2190.0,Sub-Saharan Africa,L
Sweden,1962,2820.0,Europe & Central Asia,H
Switzerland,1962,3480.0,Europe & Central Asia,H
Tajikistan,1962,,Europe & Central Asia,M
Tanzania,1962,1760.0,Sub-Saharan Africa,L
Thailand,1962,2070.0,East Asia & Pacific,H
Timor-Leste,1962,1750.0,East Asia & Pacific,M
Togo,1962,2200.0,Sub-Saharan Africa,L
Trinidad and Tobago,1962,2360.0,Latin America & Caribbean,H
Tunisia,1962,2290.0,Middle East & North Africa,H
Turkey,1962,2920.0,Europe & Central Asia,H
Turkmenistan,1962,,Europe & Central Asia,M
