country,year,food_supply,region
Kuwait,1974,2500.0,Middle East & North Africa
Lebanon,1974,2500.0,Middle East & North Africa
Malta,1974,3070.0,Middle East & North Africa
Morocco,1974,2500.0,Middle East & North Africa
Oman,1974,,Middle East & North Africa
Saudi Arabia,1974,1680.0,Middle East & North Africa
Tunisia,1974,2690.0,Middle East & North Africa
United Arab Emirates,1974,3010.0,Middle East & North Africa
Yemen,1974,1870.0,Middle East & North Africa
Algeria,1975,2060.0,Middle East & North Africa
Djibouti,1975,1660.0,Middle East & North Africa
Egypt,1975,2430.0,Middle East & North Africa
Iran,1975,2430.0,Middle East & North Africa
Iraq,1975,2200.0,Middle East & North Africa
Israel,1975,3190.0,Middle East & North Africa
Jordan,1975,2140.0,Middle East & North Africa
Kuwait,1975,2540.0,Middle East & North Africa
Lebanon,1975,2440.0,Middle East & North Africa
Malta,1975,3220.0,Middle East & North Africa
Morocco,1975,2620.0,Middle East & North Africa
Oman,1975,,Middle East & North Africa
Saudi Arabia,1975,1790.0,Middle East & North Africa
Tunisia,1975,2670.0,Middle East & North Africa
United Arab Emirates,1975,3140.0,Middle East & North Africa
Yemen,1975,1880.0,Middle East & North Africa
Algeria,1976,2050.0,Middle East & North Africa
Djibouti,1976,1620.0,Middle East & North Africa
Egypt,1976,2510.0,Middle East & North Africa
Iran,1976,2460.0,Middle East & North Africa
Iraq,1976,2230.0,Middle East & North Africa
Israel,1976,3230.0,Middle East & North Africa
Jordan,1976,2270.0,Middle East & North Africa
Kuwait,1976,2660.0,Middle East & North Africa
Lebanon,1976,2470.0,Middle East & North Africa
Malta,1976,3290.0,Middle East & North Africa
Morocco,1976,2550.0,Middle East & North Africa
Oman,1976,,Middle East & North Africa
Saudi Arabia,1976,1910.0,Middle East & North Africa
Tunisia,1976,2630.0,Middle East & North Africa
United Arab Emirates,1976,3160.0,Middle East & North Africa
Yemen,1976,1940.0,Middle East & North Africa
Algeria,1977,2210.0,Middle East & North Africa
Djibouti,1977,1560.0,Middle East & North Africa
Egypt,1977,2560.0,Middle East & North Africa
Iran,1977,2480.0,Middle East & North Africa
Iraq,1977,2300.0,Middle East & North Africa
Israel,1977,3220.0,Middle East & North Africa
Jordan,1977,2350.0,Middle East & North Africa
Kuwait,1977,2740.0,Middle East & North Africa
Lebanon,1977,2620.0,Middle East & North Africa
Malta,1977,3270.0,Middle East & North Africa
Morocco,1977,2610.0,Middle East & North Africa
Oman,1977,,Middle East & North Africa
Saudi Arabia,1977,2120.0,Middle East & North Africa
Tunisia,1977,2730.0,Middle East & North Africa
United Arab Emirates,1977,3140.0,Middle East & North Africa
Yemen,1977,2010.0,Middle East & North Africa
Algeria,1978,2340.0,Middle East & North Africa
Djibouti,1978,1440.0,Middle East & North Africa
Egypt,1978,2650.0,Middle East & North Africa
Iran,1978,2510.0,Middle East & North Africa
Iraq,1978,2460.0,Middle East & North Africa
Israel,1978,3140.0,Middle East & North Africa
Jordan,1978,2440.0,Middle East & North Africa
Kuwait,1978,2820.0,Middle East & North Africa
Lebanon,1978,2660.0,Middle East & North Africa
Malta,1978,3240.0,Middle East & North Africa
Morocco,1978,2640.0,Middle East & North Africa
Oman,1978,,Middle East & North Africa
Saudi Arabia,1978,2320.0,Middle East & North Africa
Tunisia,1978,2810.0,Middle East & North Africa
United Arab Emirates,1978,3190.0,Middle East & North Africa
Yemen,1978,2100.0,Middle East & North Africa
Algeria,1979,2450.0,Middle East & North Africa
Djibouti,1979,1370.0,Middle East & North Africa
Egypt,1979,2780.0,Middle East & North Africa
Iran,1979,2580.0,Middle East & North Africa
Iraq,1979,2590.0,Middle East & North Africa
Israel,1979,3120.0,Middle East & North Africa
Jordan,1979,2500.0,Middle East & North Africa
Kuwait,1979,2910.0,Middle East & North Africa
Lebanon,1979,2740.0,Middle East & North Africa
Malta,1979,3210.0,Middle East & North Africa
Morocco,1979,2710.0,Middle East & North Africa
Oman,1979,,Middle East & North Africa
Saudi Arabia,1979,2630.0,Middle East & North Africa
Tunisia,1979,2820.0,Middle East & North Africa
United Arab Emirates,1979,3070.0,Middle East & North Africa
Yemen,1979,2060.0,Middle East & North Africa
Algeria,1980,2570.0,Middle East & North Africa
Djibouti,1980,1440.0,Middle East & North Africa
Egypt,1980,2860.0,Middle East & North Africa
Iran,1980,2660.0,Middle East & North Africa
Iraq,1980,2680.0,Middle East & North Africa
Israel,1980,3100.0,Middle East & North Africa
Jordan,1980,2540.0,Middle East & North Africa
Kuwait,1980,2940.0,Middle East & North Africa
Lebanon,1980,2830.0,Middle East & North Africa
Malta,1980,3260.0,Middle East & North Africa
Morocco,1980,2660.0,Middle East & North Africa
Oman,1980,,Middle East & North Africa
Saudi Arabia,1980,2870.0,Middle East & North Africa
Tunisia,1980,2950.0,Middle East & North Africa
United Arab Emirates,1980,3390.0,Middle East & North Africa
Yemen,1980,2020.0,Middle East & North Africa
Algeria,1981,2600.0,Middle East & North Africa
Djibouti,1981,1450.0,Middle East & North Africa
Egypt,1981,3000.0,Middle East & North Africa
Iran,1981,2720.0,Middle East & North Africa
Iraq,1981,2830.0,Middle East & North Africa
Israel,1981,3150.0,Middle East & North Africa
Jordan,1981,2590.0,Middle East & North Africa
Kuwait,1981,2930.0,Middle East & North Africa
Lebanon,1981,2790.0,Middle East & North Africa
Malta,1981,3190.0,Middle East & North Africa
Morocco,1981,2710.0,Middle East & North Africa
Oman,1981,,Middle East & North Africa
Saudi Arabia,1981,2900.0,Middle East & North Africa
Tunisia,1981,2860.0,Middle East & North Africa
United Arab Emirates,1981,3400.0,Middle East & North Africa
Yemen,1981,2030.0,Middle East & North Africa
Algeria,1982,2570.0,Middle East & North Africa
Djibouti,1982,1500.0,Middle East & North Africa
Egypt,1982,3060.0,Middle East & North Africa
Iran,1982,2700.0,Middle East & North Africa
Iraq,1982,2960.0,Middle East & North Africa
Israel,1982,3290.0,Middle East & North Africa
Jordan,1982,2590.0,Middle East & North Africa
Kuwait,1982,3020.0,Middle East & North Africa
Lebanon,1982,2870.0,Middle East & North Africa
