id,type,sectionId,sectionName,webPublicationDate,webTitle,webUrl,apiUrl,isHosted,pillarId,pillarName
politics/2021/may/27/domshell-what-the-papers-say-about-dominic-cummings-attack-on-boris-johnson,article,politics,Politics,2021-05-27T02:49:39Z,‘Domshell’: what the papers say about Dominic Cummings’ attack on Boris Johnson,https://www.theguardian.com/politics/2021/may/27/domshell-what-the-papers-say-about-dominic-cummings-attack-on-boris-johnson,https://content.guardianapis.com/politics/2021/may/27/domshell-what-the-papers-say-about-dominic-cummings-attack-on-boris-johnson,False,pillar/news,News
commentisfree/2021/may/26/dominic-cummings-circus-indictment-governing-class-failures-uk,article,commentisfree,Opinion,2021-05-26T15:36:27Z,The Dominic Cummings circus is an indictment of the entire governing class | Aditya Chakrabortty,https://www.theguardian.com/commentisfree/2021/may/26/dominic-cummings-circus-indictment-governing-class-failures-uk,https://content.guardianapis.com/commentisfree/2021/may/26/dominic-cummings-circus-indictment-governing-class-failures-uk,False,pillar/opinion,Opinion
politics/2021/may/27/dominic-cummings-tell-all-told-us-what-we-already-knew-about-the-tories,article,politics,Politics,2021-05-27T17:14:34Z,Dominic Cummings’ tell-all told us what we already knew about the Tories | Letters,https://www.theguardian.com/politics/2021/may/27/dominic-cummings-tell-all-told-us-what-we-already-knew-about-the-tories,https://content.guardianapis.com/politics/2021/may/27/dominic-cummings-tell-all-told-us-what-we-already-knew-about-the-tories,False,pillar/news,News
politics/2021/may/26/dominic-cummings-covid-chaos-no-10-like-out-of-control-movie-boris-johnson,article,politics,Politics,2021-05-26T17:09:43Z,Dominic Cummings says Covid chaos at No 10 was like ‘out-of-control movie’,https://www.theguardian.com/politics/2021/may/26/dominic-cummings-covid-chaos-no-10-like-out-of-control-movie-boris-johnson,https://content.guardianapis.com/politics/2021/may/26/dominic-cummings-covid-chaos-no-10-like-out-of-control-movie-boris-johnson,False,pillar/news,News
technology/2021/may/27/demis-hassabis-the-deep-mind-dominic-cummings-turned-to-as-the-pandemic-hit,article,technology,Technology,2021-05-27T15:56:06Z,Demis Hassabis: the deep mind Dominic Cummings turned to as the pandemic hit,https://www.theguardian.com/technology/2021/may/27/demis-hassabis-the-deep-mind-dominic-cummings-turned-to-as-the-pandemic-hit,https://content.guardianapis.com/technology/2021/may/27/demis-hassabis-the-deep-mind-dominic-cummings-turned-to-as-the-pandemic-hit,False,pillar/news,News
politics/2021/may/26/dominic-cummings-says-he-did-not-tell-whole-truth-about-journeys-to-durham-barnard-castle,article,politics,Politics,2021-05-26T16:26:36Z,Dominic Cummings says he did not tell whole truth about journeys to Durham,https://www.theguardian.com/politics/2021/may/26/dominic-cummings-says-he-did-not-tell-whole-truth-about-journeys-to-durham-barnard-castle,https://content.guardianapis.com/politics/2021/may/26/dominic-cummings-says-he-did-not-tell-whole-truth-about-journeys-to-durham-barnard-castle,False,pillar/news,News
theobserver/commentisfree/2021/may/30/may-i-have-a-word-about-expletives-dominic-cummings-brooks-koepka,article,theobserver,From the Observer,2021-05-30T09:30:51Z,"May I have a word about… asterisks, from Dominic Cummings to Brooks Koepka | Jonathan Bouquet",https://www.theguardian.com/theobserver/commentisfree/2021/may/30/may-i-have-a-word-about-expletives-dominic-cummings-brooks-koepka,https://content.guardianapis.com/theobserver/commentisfree/2021/may/30/may-i-have-a-word-about-expletives-dominic-cummings-brooks-koepka,False,pillar/news,News
commentisfree/2021/may/28/dominic-cummings-assault-johnson-fails-himself-blame,article,commentisfree,Opinion,2021-05-28T14:51:23Z,"If Dominic Cummings' assault on Johnson fails, he will have only himself to blame | Jonathan Freedland",https://www.theguardian.com/commentisfree/2021/may/28/dominic-cummings-assault-johnson-fails-himself-blame,https://content.guardianapis.com/commentisfree/2021/may/28/dominic-cummings-assault-johnson-fails-himself-blame,False,pillar/opinion,Opinion
politics/live/2021/may/26/uk-covid-news-live-dominic-cummings-boris-johnson-covid-evidence-pmqs,liveblog,politics,Politics,2021-05-26T17:17:29Z,Dominic Cummings claims ‘tens of thousands’ died unnecessarily because of way Covid was handled – as it happened,https://www.theguardian.com/politics/live/2021/may/26/uk-covid-news-live-dominic-cummings-boris-johnson-covid-evidence-pmqs,https://content.guardianapis.com/politics/live/2021/may/26/uk-covid-news-live-dominic-cummings-boris-johnson-covid-evidence-pmqs,False,pillar/news,News
politics/2021/may/26/covid-bereaved-react-to-dominic-cummings-evidence,article,politics,Politics,2021-05-26T14:43:25Z,‘Upsetting and bleak’: Covid bereaved react to Dominic Cummings' evidence ,https://www.theguardian.com/politics/2021/may/26/covid-bereaved-react-to-dominic-cummings-evidence,https://content.guardianapis.com/politics/2021/may/26/covid-bereaved-react-to-dominic-cummings-evidence,False,pillar/news,News
politics/2021/may/28/matt-hancock-an-ambitious-operator-who-knows-which-levers-to-pull,article,politics,Politics,2021-05-28T16:44:02Z,Matt Hancock: an ambitious operator who ‘knows which levers to pull’,https://www.theguardian.com/politics/2021/may/28/matt-hancock-an-ambitious-operator-who-knows-which-levers-to-pull,https://content.guardianapis.com/politics/2021/may/28/matt-hancock-an-ambitious-operator-who-knows-which-levers-to-pull,False,pillar/news,News
uk-news/2021/may/28/covid-bereaved-demand-public-inquiry-and-end-to-political-pantomime,article,uk-news,UK news,2021-05-28T05:00:47Z,Covid bereaved demand public inquiry and end to ‘political pantomime’,https://www.theguardian.com/uk-news/2021/may/28/covid-bereaved-demand-public-inquiry-and-end-to-political-pantomime,https://content.guardianapis.com/uk-news/2021/may/28/covid-bereaved-demand-public-inquiry-and-end-to-political-pantomime,False,pillar/news,News
uk-news/2021/may/28/digested-week-comedy-cummings-and-tech-tactics,article,uk-news,UK news,2021-05-28T11:16:13Z,Digested Week: Comedy Cummings and tech tactics | Lucy Mangan ,https://www.theguardian.com/uk-news/2021/may/28/digested-week-comedy-cummings-and-tech-tactics,https://content.guardianapis.com/uk-news/2021/may/28/digested-week-comedy-cummings-and-tech-tactics,False,pillar/news,News
